infMethod,nDocs,time
Lightweight_MH_CPS,10,2.492080929
Lightweight_MH_CPS,10,2.472199785
Lightweight_MH_CPS,10,2.668300549
Lightweight_MH_CPS,10,1.9614914350000001
Lightweight_MH_CPS,10,1.949976055
Lightweight_MH_CPS,10,1.9923067209999998
Lightweight_MH_CPS,10,1.9677751300000001
Lightweight_MH_CPS,10,2.038806657
Lightweight_MH_CPS,10,1.942788535
Lightweight_MH_CPS,10,2.091095074
Lightweight_MH_CPS,10,2.168411096
Lightweight_MH_CPS,15,2.907141152
Lightweight_MH_CPS,15,3.026290994
Lightweight_MH_CPS,15,2.914937482
Lightweight_MH_CPS,15,3.018937544
Lightweight_MH_CPS,15,3.189751904
Lightweight_MH_CPS,15,3.227106833
Lightweight_MH_CPS,15,3.116694338
Lightweight_MH_CPS,15,2.719201116
Lightweight_MH_CPS,15,2.7332985340000002
Lightweight_MH_CPS,15,2.786176862
Lightweight_MH_CPS,15,2.8035156409999997
Lightweight_MH_CPS,15,2.916398338
Lightweight_MH_CPS,15,2.8759786050000002
Lightweight_MH_CPS,15,2.827737311
Lightweight_MH_CPS,15,2.87797938
Lightweight_MH_CPS,15,2.957032956
Lightweight_MH_CPS,15,3.13643038
Lightweight_MH_CPS,15,2.989996598
Lightweight_MH_CPS,15,2.626214123
Lightweight_MH_CPS,15,2.6340112490000003
Lightweight_MH_CPS,20,3.685399557
Lightweight_MH_CPS,20,3.55939888
Lightweight_MH_CPS,20,3.74463154
Lightweight_MH_CPS,20,3.814392523
Lightweight_MH_CPS,20,3.993739251
Lightweight_MH_CPS,20,3.715439853
Lightweight_MH_CPS,20,3.753132384
Lightweight_MH_CPS,20,3.300805417
Lightweight_MH_CPS,20,3.325644612
Lightweight_MH_CPS,20,3.488034311
Lightweight_MH_CPS,20,3.6875295230000003
Lightweight_MH_CPS,20,3.703192508
Lightweight_MH_CPS,20,3.7757267519999997
Lightweight_MH_CPS,20,4.032163599
Lightweight_MH_CPS,20,3.9293727819999997
Lightweight_MH_CPS,20,4.064671819
Lightweight_MH_CPS,20,3.509058269
Lightweight_MH_CPS,20,3.744832996
Lightweight_MH_CPS,20,3.5762175000000003
Lightweight_MH_CPS,20,3.650435061
Lightweight_MH_CPS,25,4.597224088
Lightweight_MH_CPS,25,4.854636918
Lightweight_MH_CPS,25,4.93577449
Lightweight_MH_CPS,25,4.85545556
Lightweight_MH_CPS,25,5.045284306
Lightweight_MH_CPS,25,4.419802292
Lightweight_MH_CPS,25,4.581527359
Lightweight_MH_CPS,25,4.730931473
Lightweight_MH_CPS,25,4.870458062
Lightweight_MH_CPS,25,5.03826695
Lightweight_MH_CPS,25,5.090627135
Lightweight_MH_CPS,25,5.144488892
Lightweight_MH_CPS,25,5.285725888
Lightweight_MH_CPS,25,4.88830297
Lightweight_MH_CPS,25,4.250302695
Lightweight_MH_CPS,25,4.403933187
Lightweight_MH_CPS,25,4.291174068
Lightweight_MH_CPS,25,4.995206624
Lightweight_MH_CPS,25,4.684850517
Lightweight_MH_CPS,25,4.902335475
