infMethod,nObservations,time
Lightweight_MH_CPS,60,5.573170119
Lightweight_MH_CPS,60,5.191510706
Lightweight_MH_CPS,60,5.292104999
Lightweight_MH_CPS,70,6.425380132
Lightweight_MH_CPS,70,6.359248966
Lightweight_MH_CPS,70,6.466503249
Lightweight_MH_CPS,70,6.793861159
Lightweight_MH_CPS,70,6.840805975
Lightweight_MH_CPS,70,6.716187403
Lightweight_MH_CPS,70,7.023093022
Lightweight_MH_CPS,70,7.287059963
Lightweight_MH_CPS,70,7.497972251
Lightweight_MH_CPS,70,7.632547607
Lightweight_MH_CPS,70,8.211429633
Lightweight_MH_CPS,70,7.656879369
Lightweight_MH_CPS,70,7.003546346
Lightweight_MH_CPS,70,5.976520341
Lightweight_MH_CPS,70,6.380760834
Lightweight_MH_CPS,70,6.404219545
Lightweight_MH_CPS,70,6.505581701
Lightweight_MH_CPS,70,6.758217876
Lightweight_MH_CPS,70,6.606956223
Lightweight_MH_CPS,70,7.188563297
Lightweight_MH_CPS,80,8.477063333
Lightweight_MH_CPS,80,8.419012047
Lightweight_MH_CPS,80,8.347731641
Lightweight_MH_CPS,80,8.676280357
Lightweight_MH_CPS,80,8.710623459
Lightweight_MH_CPS,80,8.943847724
Lightweight_MH_CPS,80,8.238988903
Lightweight_MH_CPS,80,6.960798854
Lightweight_MH_CPS,80,7.340471198
Lightweight_MH_CPS,80,7.398267024
Lightweight_MH_CPS,80,7.484714657
Lightweight_MH_CPS,80,7.800571608
Lightweight_MH_CPS,80,7.824156043
Lightweight_MH_CPS,80,8.192280319
Lightweight_MH_CPS,80,8.179846867
Lightweight_MH_CPS,80,7.852172438
Lightweight_MH_CPS,80,8.675175512
Lightweight_MH_CPS,80,8.39049209
Lightweight_MH_CPS,80,8.999051979
Lightweight_MH_CPS,80,9.039322244
Lightweight_MH_CPS,90,8.199092626
Lightweight_MH_CPS,90,8.044869151
Lightweight_MH_CPS,90,8.170621288
Lightweight_MH_CPS,90,7.852856448
Lightweight_MH_CPS,90,8.415842587
Lightweight_MH_CPS,90,8.322561586
Lightweight_MH_CPS,90,8.598051811
Lightweight_MH_CPS,90,9.007750535
Lightweight_MH_CPS,90,9.173577911
Lightweight_MH_CPS,90,9.548578114
Lightweight_MH_CPS,90,9.82504863
Lightweight_MH_CPS,90,9.687875103
Lightweight_MH_CPS,90,7.824245816
Lightweight_MH_CPS,90,7.770333115
Lightweight_MH_CPS,90,7.893037671
Lightweight_MH_CPS,90,8.197811111
Lightweight_MH_CPS,90,8.348139124
Lightweight_MH_CPS,90,8.670806085
Lightweight_MH_CPS,90,8.648202134
Lightweight_MH_CPS,90,8.976859532
Lightweight_MH_CPS,100,9.979980067
Lightweight_MH_CPS,100,10.587123673
Lightweight_MH_CPS,100,10.673415537
Lightweight_MH_CPS,100,9.290605407
Lightweight_MH_CPS,100,8.519577009
Lightweight_MH_CPS,100,8.86483736
Lightweight_MH_CPS,100,9.279856406
Lightweight_MH_CPS,100,9.740630858
Lightweight_MH_CPS,100,9.742350894
Lightweight_MH_CPS,100,10.412297707
Lightweight_MH_CPS,100,9.992563426
Lightweight_MH_CPS,100,9.854326405
Lightweight_MH_CPS,100,10.529975581
Lightweight_MH_CPS,100,10.60352141
Lightweight_MH_CPS,100,9.395425446
Lightweight_MH_CPS,100,8.545087062
Lightweight_MH_CPS,100,8.682940707
Lightweight_MH_CPS,100,9.479937839
Lightweight_MH_CPS,100,9.561193615
Lightweight_MH_CPS,100,9.784571577
Incremental_MH,10,1.025173897
Incremental_MH,10,1.025721444
Incremental_MH,10,0.960527154
Incremental_MH,10,1.008481347
Incremental_MH,10,0.980205238
Incremental_MH,10,0.998379608
Incremental_MH,10,0.956579338
Incremental_MH,10,0.957914201
Incremental_MH,10,1.062504287
Incremental_MH,10,1.011107835
Incremental_MH,10,0.953803477
Incremental_MH,10,0.964365099
Incremental_MH,10,0.952433726
Incremental_MH,10,0.958355991
Incremental_MH,10,0.971331793
Incremental_MH,10,0.955260863
Incremental_MH,10,0.967477823
Incremental_MH,10,0.972430554
Incremental_MH,10,0.951580823
Incremental_MH,10,0.960901979
Incremental_MH,20,0.990203501
Incremental_MH,20,1.05682408
Incremental_MH,20,1.098696379
Incremental_MH,20,0.987869258
Incremental_MH,20,0.998642355
Incremental_MH,20,1.048560127
Incremental_MH,20,0.865482349
Incremental_MH,20,0.804287958
Incremental_MH,20,0.817986413
Incremental_MH,20,0.784572932
Incremental_MH,20,0.782207451
Incremental_MH,20,0.776418065
Incremental_MH,20,0.838214803
Incremental_MH,20,0.865904397
Incremental_MH,20,0.853477745
Incremental_MH,20,0.868892324
Incremental_MH,20,0.883416399
Incremental_MH,20,0.855736797
Incremental_MH,20,0.859049115
Incremental_MH,20,0.893951027
Incremental_MH,30,0.893250925
Incremental_MH,30,0.855858505
Incremental_MH,30,0.898384787
