infMethod,modelSize,time
Incremental_MH,4,0.331806793
Incremental_MH,5,0.406703923
Incremental_MH,5,0.402124299
Incremental_MH,5,0.407573496
Incremental_MH,5,0.388931243
Incremental_MH,5,0.389498554
Incremental_MH,5,0.389417205
Incremental_MH,5,0.395746572
Incremental_MH,5,0.400323373
Incremental_MH,5,0.383633195
Incremental_MH,5,0.371197864
Incremental_MH,5,0.403671882
Incremental_MH,5,0.386433249
Incremental_MH,5,0.38092156
Incremental_MH,5,0.375285028
Incremental_MH,5,0.382684494
Incremental_MH,5,0.37876133
Incremental_MH,5,0.377397277
Incremental_MH,5,0.376634748
Incremental_MH,5,0.398402849
Incremental_MH,5,0.37318856
Incremental_MH,6,0.46100693
Incremental_MH,6,0.453937994
Incremental_MH,6,0.481826498
Incremental_MH,6,0.502112367
Incremental_MH,6,0.457016249
Incremental_MH,6,0.461479939
Incremental_MH,6,0.457135762
Incremental_MH,6,0.471823414
Incremental_MH,6,0.442756179
Incremental_MH,6,0.44748898
Incremental_MH,6,0.439195854
Incremental_MH,6,0.469185914
Incremental_MH,6,0.447539799
Incremental_MH,6,0.440078905
Incremental_MH,6,0.460907258
Incremental_MH,6,0.45689967
Incremental_MH,6,0.475910518
Incremental_MH,6,0.487307329
Incremental_MH,6,0.503922311
Incremental_MH,6,0.479969545
Incremental_MH,7,0.566709366
Incremental_MH,7,0.524964217
Incremental_MH,7,0.578996525
Incremental_MH,7,0.544698503
Incremental_MH,7,0.546537354
Incremental_MH,7,0.552409913
Incremental_MH,7,0.60062923
Incremental_MH,7,0.537954373
Incremental_MH,7,0.540442312
Incremental_MH,7,0.549605449
Incremental_MH,7,0.622247253
Incremental_MH,7,0.557786273
Incremental_MH,7,0.54023352
Incremental_MH,7,0.583082333
Incremental_MH,7,0.559610077
Incremental_MH,7,0.551280782
Incremental_MH,7,0.53075319
Incremental_MH,7,0.546295886
Incremental_MH,7,0.53545694
Incremental_MH,7,0.542238893
Incremental_MH,8,0.61720282
Incremental_MH,8,0.696366001
Incremental_MH,8,0.622239169
Incremental_MH,8,0.629463088
Incremental_MH,8,0.624436491
Incremental_MH,8,0.656159367
Incremental_MH,8,0.60953653
Incremental_MH,8,0.636880776
Incremental_MH,8,0.640346727
Incremental_MH,8,0.63475805
Incremental_MH,8,0.637490442
Incremental_MH,8,0.622295589
Incremental_MH,8,0.644196402
Incremental_MH,8,0.67997326
Incremental_MH,8,0.624034271
Incremental_MH,8,0.618354603
Incremental_MH,8,0.63114704
Incremental_MH,8,0.621647901
Incremental_MH,8,0.604025749
Incremental_MH,8,0.616010572
Incremental_MH,9,0.729499207
Incremental_MH,9,0.69395935
Incremental_MH,9,0.697855728
Incremental_MH,9,0.700546546
Incremental_MH,9,0.715556199
Incremental_MH,9,0.740996747
