infMethod,modelSize,time
Incremental_MH,6,0.324311306
Incremental_MH,6,0.330923212
Incremental_MH,6,0.307079137
Incremental_MH,6,0.30667724
Incremental_MH,6,0.311618134
Incremental_MH,6,0.304500778
Incremental_MH,6,0.30016825
Incremental_MH,6,0.312253729
Incremental_MH,6,0.315271109
Incremental_MH,6,0.297062032
Incremental_MH,6,0.315828307
Incremental_MH,6,0.332971363
Incremental_MH,6,0.30161472
Incremental_MH,6,0.315539635
Incremental_MH,6,0.322049228
Incremental_MH,7,0.340199969
Incremental_MH,7,0.334876989
Incremental_MH,7,0.333004166
Incremental_MH,7,0.333890734
Incremental_MH,7,0.320838624
Incremental_MH,7,0.328114839
Incremental_MH,7,0.328731538
Incremental_MH,7,0.340674461
Incremental_MH,7,0.314633873
Incremental_MH,7,0.304728291
Incremental_MH,7,0.340553722
Incremental_MH,7,0.338784465
Incremental_MH,7,0.330953431
Incremental_MH,7,0.343220973
Incremental_MH,7,0.337062041
Incremental_MH,7,0.338064383
Incremental_MH,7,0.317577266
Incremental_MH,7,0.323533998
Incremental_MH,7,0.326048708
Incremental_MH,7,0.329042776
Incremental_MH,8,0.339744585
Incremental_MH,8,0.344220868
Incremental_MH,8,0.351802235
Incremental_MH,8,0.335480142
Incremental_MH,8,0.344227147
Incremental_MH,8,0.344904068
Incremental_MH,8,0.355758298
Incremental_MH,8,0.359280156
Incremental_MH,8,0.333659386
Incremental_MH,8,0.337783365
Incremental_MH,8,0.344251566
Incremental_MH,8,0.343189113
Incremental_MH,8,0.334714358
Incremental_MH,8,0.333335883
Incremental_MH,8,0.335344639
Incremental_MH,8,0.346443058
Incremental_MH,8,0.347117774
Incremental_MH,8,0.340534799
Incremental_MH,8,0.337692757
Incremental_MH,8,0.333615862
Incremental_MH,9,0.362478717
Incremental_MH,9,0.364951801
Incremental_MH,9,0.351912938
Incremental_MH,9,0.358575142
Incremental_MH,9,0.373351221
Incremental_MH,9,0.349271542
Incremental_MH,9,0.347247179
Incremental_MH,9,0.41932144
Incremental_MH,9,0.343495518
Incremental_MH,9,0.331025526
Incremental_MH,9,0.350140216
Incremental_MH,9,0.358057237
Incremental_MH,9,0.347166908
Incremental_MH,9,0.383283651
Incremental_MH,9,0.366467084
Incremental_MH,9,0.353467036
Incremental_MH,9,0.346180185
Incremental_MH,9,0.364814311
Incremental_MH,9,0.361099835
Incremental_MH,9,0.432575961
Incremental_MH,10,0.383624264
Incremental_MH,10,0.39086529
Incremental_MH,10,0.38452451
Incremental_MH,10,0.432022197
Incremental_MH,10,0.390950453
Incremental_MH,10,0.439123198
Incremental_MH,10,0.38241058
Incremental_MH,10,0.395830873
Incremental_MH,10,0.384089944
Incremental_MH,10,0.376417461
Incremental_MH,10,0.368103703
Incremental_MH,10,0.395202283
Incremental_MH,10,0.359981022
Incremental_MH,10,0.375988738
Incremental_MH,10,0.505185332
Incremental_MH,10,0.365022745
Incremental_MH,10,0.379702705
Incremental_MH,10,0.402338669
Incremental_MH,10,0.421199677
Incremental_MH,10,0.405827306
