model,infMethod,modelSize,time
hmm,Incremental_MH,1,0.116493019
hmm,Incremental_MH,1,0.122832362
hmm,Incremental_MH,1,0.116429228
hmm,Incremental_MH,1,0.154221643
hmm,Incremental_MH,2,0.20098117
hmm,Incremental_MH,2,0.196563034
hmm,Incremental_MH,2,0.177923908
hmm,Incremental_MH,2,0.178303535
hmm,Incremental_MH,2,0.177545075
hmm,Incremental_MH,2,0.181000642
hmm,Incremental_MH,2,0.208455129
hmm,Incremental_MH,2,0.18436658
hmm,Incremental_MH,2,0.183560066
hmm,Incremental_MH,2,0.176402059
hmm,Incremental_MH,2,0.170000188
hmm,Incremental_MH,2,0.177716961
hmm,Incremental_MH,2,0.17034491
hmm,Incremental_MH,2,0.178737941
hmm,Incremental_MH,2,0.164264529
hmm,Incremental_MH,2,0.17112433
hmm,Incremental_MH,2,0.181208289
hmm,Incremental_MH,2,0.181215221
hmm,Incremental_MH,2,0.171639651
hmm,Incremental_MH,2,0.192765836
hmm,Incremental_MH,3,0.216563166
hmm,Incremental_MH,3,0.260041671
hmm,Incremental_MH,3,0.25610828
hmm,Incremental_MH,3,0.249467938
hmm,Incremental_MH,3,0.271132023
hmm,Incremental_MH,3,0.248407666
hmm,Incremental_MH,3,0.24061179
hmm,Incremental_MH,3,0.221005937
hmm,Incremental_MH,3,0.234368595
hmm,Incremental_MH,3,0.268795746
hmm,Incremental_MH,3,0.267479332
hmm,Incremental_MH,3,0.265342819
hmm,Incremental_MH,3,0.261285511
hmm,Incremental_MH,3,0.254493569
hmm,Incremental_MH,3,0.258967741
hmm,Incremental_MH,3,0.235844612
hmm,Incremental_MH,3,0.233371865
hmm,Incremental_MH,3,0.275918977
hmm,Incremental_MH,3,0.266179283
hmm,Incremental_MH,3,0.257928043
hmm,Incremental_MH,4,0.32134041
hmm,Incremental_MH,4,0.306148004
hmm,Incremental_MH,4,0.306973286
hmm,Incremental_MH,4,0.326308793
hmm,Incremental_MH,4,0.328903679
hmm,Incremental_MH,4,0.325584681
hmm,Incremental_MH,4,0.339189928
hmm,Incremental_MH,4,0.30700177
hmm,Incremental_MH,4,0.315453377
hmm,Incremental_MH,4,0.31241421
hmm,Incremental_MH,4,0.329341698
hmm,Incremental_MH,4,0.318199004
hmm,Incremental_MH,4,0.299793878
hmm,Incremental_MH,4,0.327166266
hmm,Incremental_MH,4,0.324726197
hmm,Incremental_MH,4,0.320115541
hmm,Incremental_MH,4,0.315020794
hmm,Incremental_MH,4,0.302888006
hmm,Incremental_MH,4,0.326091966
hmm,Incremental_MH,4,0.331806793
hmm,Incremental_MH,5,0.406703923
hmm,Incremental_MH,5,0.402124299
hmm,Incremental_MH,5,0.407573496
hmm,Incremental_MH,5,0.388931243
hmm,Incremental_MH,5,0.389498554
hmm,Incremental_MH,5,0.389417205
hmm,Incremental_MH,5,0.395746572
hmm,Incremental_MH,5,0.400323373
hmm,Incremental_MH,5,0.383633195
hmm,Incremental_MH,5,0.371197864
hmm,Incremental_MH,5,0.403671882
hmm,Incremental_MH,5,0.386433249
hmm,Incremental_MH,5,0.38092156
hmm,Incremental_MH,5,0.375285028
hmm,Incremental_MH,5,0.382684494
hmm,Incremental_MH,5,0.37876133
hmm,Incremental_MH,5,0.377397277
hmm,Incremental_MH,5,0.376634748
hmm,Incremental_MH,5,0.398402849
hmm,Incremental_MH,5,0.37318856
hmm,Incremental_MH,6,0.46100693
hmm,Incremental_MH,6,0.453937994
hmm,Incremental_MH,6,0.481826498
hmm,Incremental_MH,6,0.502112367
hmm,Incremental_MH,6,0.457016249
hmm,Incremental_MH,6,0.461479939
hmm,Incremental_MH,6,0.457135762
hmm,Incremental_MH,6,0.471823414
hmm,Incremental_MH,6,0.442756179
hmm,Incremental_MH,6,0.44748898
hmm,Incremental_MH,6,0.439195854
hmm,Incremental_MH,6,0.469185914
hmm,Incremental_MH,6,0.447539799
hmm,Incremental_MH,6,0.440078905
hmm,Incremental_MH,6,0.460907258
hmm,Incremental_MH,6,0.45689967
hmm,Incremental_MH,6,0.475910518
hmm,Incremental_MH,6,0.487307329
hmm,Incremental_MH,6,0.503922311
hmm,Incremental_MH,6,0.479969545
hmm,Incremental_MH,7,0.566709366
hmm,Incremental_MH,7,0.524964217
hmm,Incremental_MH,7,0.578996525
hmm,Incremental_MH,7,0.544698503
hmm,Incremental_MH,7,0.546537354
hmm,Incremental_MH,7,0.552409913
hmm,Incremental_MH,7,0.60062923
hmm,Incremental_MH,7,0.537954373
